Red,Green,Blue,Clear,ColorTemp,Lux
14738,3503,3030,20652,59120,64063
14749,3508,3083,20692,22512,64029
14834,3613,3232,21081,8608,64058
14984,3761,3282,21350,43232,64206
14887,3773,3236,21129,12397,64290
14763,3721,3093,20907,11064,64353
14634,3539,3115,20523,23990,64091
14592,3552,3105,20294,63676,64133
13749,3419,2992,19427,7596,64279
12568,3160,2766,17800,47778,64419
14265,3377,2827,19724,51930,64166
13582,3369,2872,19107,30676,64342
13034,3167,2746,18246,27034,64294
14618,3599,3034,20385,53249,64251
14361,3507,2995,19906,21149,64218
14434,3545,3127,20204,58377,64157
14442,3559,3178,20348,5586,64139
14458,3402,2827,20002,37321,64143
14539,3420,2939,20003,61307,64068
14748,3584,3162,20802,51094,64091
14848,3737,3281,21104,24510,64213
14804,3875,3343,21235,40596,64400
14799,3692,3109,20825,48991,64284
10392,2728,2318,14673,10424,64772
14285,3470,3114,19996,60544,64097
11847,2420,2126,15626,19735,63954
15199,3531,3115,20812,25156,63895
14629,3483,3070,20286,53635,64038
14626,3480,3053,20254,55895,64046
16912,3861,3398,22822,4417,63653
17308,4101,3660,23431,46497,63711
15633,3631,3216,21319,51637,63838
15814,3637,3157,21475,54055,63832
16020,3879,3460,21949,54127,63926
16326,3970,3517,22718,41970,63930
14732,3556,3153,20628,51527,64059
15008,3639,3230,20981,24737,64044
14876,3580,3180,20799,52115,64030
14948,3609,3212,20924,57436,64029
14890,3586,3187,20826,52005,64030
17523,4223,3858,23971,59278,63689
15780,3738,3239,21504,29147,63943
14700,3461,3019,20246,23313,64017
16723,3961,3574,22699,4400,63743
